Centro Poblado,Aeropuerto,Distancia(Km),Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,Tipo_Cobertura
GARAGOA,GUSTAVO ROJAS PINILLA,51.0933787984512,False,GUSTAVO ROJAS PINILLA,51.0933787984512,ALBERTO LLERAS CAMARGO,79.1215648023277,VANGUARDIA,105.439888581191,EL DORADO,96.5145540652024,Sin cobertura
GUATEQUE,LOS GARZONES,21.476883979674,True,LOS MOCHUELOS,31.4759551095798,EL PINDO,87.3856906050796,LOS GARZONES,21.476883979674,RAFAEL NUÑEZ,204.649800995243,Nacional
JENESANO,GUSTAVO ROJAS PINILLA,17.5330891197578,True,GUSTAVO ROJAS PINILLA,17.5330891197578,ALBERTO LLERAS CAMARGO,54.2744842939069,EL ALCARAVAN,108.69809004809,EL DORADO,115.375418490347,Aeródromo
VILLA DE LEYVA,GUSTAVO ROJAS PINILLA,22.3486294568926,True,GUSTAVO ROJAS PINILLA,22.3486294568926,ALBERTO LLERAS CAMARGO,61.5933074513386,EL ALCARAVAN,130.963735462182,EL DORADO,124.354165006237,Aeródromo
MACANAL,AGUACLARA,39.3151149998966,True,AGUACLARA,39.3151149998966,ALBERTO LLERAS CAMARGO,87.3427405676034,VANGUARDIA,95.2017607225592,EL DORADO,96.4773663268136,Aeródromo
SAN PEDRO DE MUCEÑO,AGUACLARA,36.7980585362565,True,AGUACLARA,36.7980585362565,ALBERTO LLERAS CAMARGO,80.1201308529709,EL ALCARAVAN,101.07609439046,EL DORADO,105.906266668837,Aeródromo
MIRAFLORES,MIRAFLORES,0.0223630141858667,True,MIRAFLORES,0.0223630141858667,JORGE E. GONZALEZ T.,157.898428619517,VANGUARDIA,365.018214691478,BENITO SALAS,412.510402626112,Aeródromo
CONDOMINIO CAMPESTRE LA GONZALEZ,INGENIO PICHICHI,8.33408235107321,True,INGENIO PICHICHI,8.33408235107321,FARFAN HERIBERTO GIL MAR,67.9224799706071,BUENAVENTURA-GERARDO TOBAR LOPEZ,93.2138237544747,ALFONSO BONILLA ARAGON,19.0935081117413,Internacional
MONIQUIRÁ,GUSTAVO ROJAS PINILLA,44.9663595198597,False,GUSTAVO ROJAS PINILLA,44.9663595198597,ALBERTO LLERAS CAMARGO,70.3733449334853,YARIGUIES,130.238336006649,EL DORADO,145.2316595671,Sin cobertura
LOS CAYENOS,GUSTAVO ROJAS PINILLA,42.8534189847819,False,GUSTAVO ROJAS PINILLA,42.8534189847819,ALBERTO LLERAS CAMARGO,68.365865560076,YARIGUIES,131.982863142303,EL DORADO,144.669537121689,Sin cobertura
MOTAVITA,GUSTAVO ROJAS PINILLA,4.72036599733936,True,GUSTAVO ROJAS PINILLA,4.72036599733936,ALBERTO LLERAS CAMARGO,45.3962544123714,EL ALCARAVAN,112.614649743734,EL DORADO,130.123018840354,Aeródromo
SANTANA,TRES DE MAYO,12.352992561336,True,ORITO,35.366872920909,CANANGUCHAL,42.9056728018701,TRES DE MAYO,12.352992561336,BENITO SALAS,297.651195823431,Nacional
OICATÁ,GUSTAVO ROJAS PINILLA,7.10119043585853,True,GUSTAVO ROJAS PINILLA,7.10119043585853,ALBERTO LLERAS CAMARGO,38.5432798870507,EL ALCARAVAN,106.8094291134,EL DORADO,135.994749148644,Regional
PACHAVITA,GUSTAVO ROJAS PINILLA,45.1047965376424,False,GUSTAVO ROJAS PINILLA,45.1047965376424,ALBERTO LLERAS CAMARGO,76.1178040127395,VANGUARDIA,110.706416796963,EL DORADO,96.3260538611138,Sin cobertura
PAIPA,PAIPA JUAN JOSE RONDON,2.19393029435305,True,PAIPA JUAN JOSE RONDON,2.19393029435305,ALBERTO LLERAS CAMARGO,20.021347277401,EL ALCARAVAN,96.0197694831302,PALONEGRO,149.988125250151,Regional
PANTANO DE VARGAS,PAIPA JUAN JOSE RONDON,4.73840522692471,True,PAIPA JUAN JOSE RONDON,4.73840522692471,ALBERTO LLERAS CAMARGO,13.2025416439559,EL ALCARAVAN,89.231445847061,PALONEGRO,154.807453400639,Regional
RAMIRIQUÍ,GUSTAVO ROJAS PINILLA,15.8328437452406,True,GUSTAVO ROJAS PINILLA,15.8328437452406,ALBERTO LLERAS CAMARGO,50.7569704624513,EL ALCARAVAN,105.633220448271,EL DORADO,118.838576864661,Aeródromo
GUAYABAL (FÁTIMA),GUSTAVO ROJAS PINILLA,32.277603267995,True,GUSTAVO ROJAS PINILLA,32.277603267995,ALBERTO LLERAS CAMARGO,60.2084828079051,EL ALCARAVAN,102.765101760993,EL DORADO,111.202563433823,Aeródromo
EL ESCOBAL,GUSTAVO ROJAS PINILLA,22.8657785059185,True,GUSTAVO ROJAS PINILLA,22.8657785059185,ALBERTO LLERAS CAMARGO,54.5481052190788,EL ALCARAVAN,104.291184369419,EL DORADO,115.177302055135,Aeródromo
VILLA TOSCANA,GUSTAVO ROJAS PINILLA,14.7993332714952,True,GUSTAVO ROJAS PINILLA,14.7993332714952,ALBERTO LLERAS CAMARGO,51.2728001339123,EL ALCARAVAN,107.095234147804,EL DORADO,118.461317169995,Aeródromo
RÁQUIRA,GUSTAVO ROJAS PINILLA,31.89836635863,True,GUSTAVO ROJAS PINILLA,31.89836635863,ALBERTO LLERAS CAMARGO,74.9112127607809,EL ALCARAVAN,140.329550654397,EL DORADO,109.156911500539,Aeródromo
RONDÓN,GUSTAVO ROJAS PINILLA,25.4707388864714,True,GUSTAVO ROJAS PINILLA,25.4707388864714,ALBERTO LLERAS CAMARGO,44.2359249114467,EL ALCARAVAN,91.35686924554,EL DORADO,126.967252541049,Aeródromo
RANCHOGRANDE,GUSTAVO ROJAS PINILLA,27.8134934767892,True,GUSTAVO ROJAS PINILLA,27.8134934767892,ALBERTO LLERAS CAMARGO,47.6952373289919,EL ALCARAVAN,92.3352598646735,EL DORADO,124.104726660703,Aeródromo
SÁCHICA,GUSTAVO ROJAS PINILLA,22.4250080917986,True,GUSTAVO ROJAS PINILLA,22.4250080917986,ALBERTO LLERAS CAMARGO,64.2253311647732,EL ALCARAVAN,131.55879932768,EL DORADO,118.720055813317,Aeródromo
SAMACÁ,GUSTAVO ROJAS PINILLA,16.6019167069691,True,GUSTAVO ROJAS PINILLA,16.6019167069691,ALBERTO LLERAS CAMARGO,60.6495503582505,EL ALCARAVAN,123.442044693477,EL DORADO,114.421314659056,Aeródromo
LA FABRICA,GUSTAVO ROJAS PINILLA,20.6482718234086,True,GUSTAVO ROJAS PINILLA,20.6482718234086,ALBERTO LLERAS CAMARGO,64.6955106335444,EL ALCARAVAN,126.884057128517,EL DORADO,110.815145653912,Aeródromo
SAN LUIS DE GACENO,AGUACLARA,15.5244979430592,True,AGUACLARA,15.5244979430592,ALBERTO LLERAS CAMARGO,97.7768199533478,VANGUARDIA,87.7083318891027,EL DORADO,109.224174673685,Aeródromo
LA MESA DEL GUAVIO,AGUACLARA,8.70862018918507,True,AGUACLARA,8.70862018918507,ALBERTO LLERAS CAMARGO,97.8265259289344,VANGUARDIA,91.6041329299857,EL DORADO,117.667413197644,Aeródromo
SAN CARLOS DEL GUAVIO,AGUACLARA,2.2231196417175,True,AGUACLARA,2.2231196417175,ALBERTO LLERAS CAMARGO,103.286511201302,VANGUARDIA,89.1100354187946,EL DORADO,120.108879558784,Aeródromo
LA FRONTERA (CORREDOR VIAL),AGUACLARA,10.1276266252092,True,AGUACLARA,10.1276266252092,ALBERTO LLERAS CAMARGO,95.6902247296605,VANGUARDIA,94.0670013199177,EL DORADO,119.359198536451,Aeródromo
SAN MATEO,BARACOA,44.9460280606787,False,BARACOA,44.9460280606787,LAS BRUJAS,79.1329956533317,LOS GARZONES,122.949653558488,RAFAEL NUÑEZ,192.321566450982,Sin cobertura
SAN MIGUEL DE SEMA,GUSTAVO ROJAS PINILLA,41.8899954259264,False,GUSTAVO ROJAS PINILLA,41.8899954259264,ALBERTO LLERAS CAMARGO,85.0858346369725,EL ALCARAVAN,149.736070956117,EL DORADO,102.250211632006,Sin cobertura
MATEGUADUA,GUSTAVO ARTUNDUAGA PAREDES,48.6463822055847,False,SOLANO,54.0341419783564,CONTADOR,110.163850551112,GUSTAVO ARTUNDUAGA PAREDES,48.6463822055847,BENITO SALAS,192.003460860014,Sin cobertura
SANTA ROSA DE VITERBO,PAIPA JUAN JOSE RONDON,18.3272641876939,True,PAIPA JUAN JOSE RONDON,18.3272641876939,ALBERTO LLERAS CAMARGO,22.0672754303416,EL ALCARAVAN,90.5429761351153,PALONEGRO,141.045312704811,Regional
SANTA SOFÍA,GUSTAVO ROJAS PINILLA,34.3379222079013,True,GUSTAVO ROJAS PINILLA,34.3379222079013,ALBERTO LLERAS CAMARGO,70.1479683852824,EL ALCARAVAN,141.807453936109,EL DORADO,127.60658677859,Aeródromo
SIACHOQUE,GUSTAVO ROJAS PINILLA,11.5383319019972,True,GUSTAVO ROJAS PINILLA,11.5383319019972,ALBERTO LLERAS CAMARGO,35.5032720658188,EL ALCARAVAN,97.6311884335531,EL DORADO,134.535728893381,Regional
SOMONDOCO,AGUACLARA,50.1492179858095,False,AGUACLARA,50.1492179858095,ALBERTO LLERAS CAMARGO,92.3808299463782,VANGUARDIA,93.0777472356847,EL DORADO,85.1300059456199,Sin cobertura
SORA,GUSTAVO ROJAS PINILLA,12.0286158484803,True,GUSTAVO ROJAS PINILLA,12.0286158484803,ALBERTO LLERAS CAMARGO,54.5365369986768,EL ALCARAVAN,121.16700661193,EL DORADO,123.322461487882,Aeródromo
SOTAQUIRÁ,PAIPA JUAN JOSE RONDON,15.669658365771,True,PAIPA JUAN JOSE RONDON,15.669658365771,ALBERTO LLERAS CAMARGO,32.2528846328733,EL ALCARAVAN,107.639959265241,PALONEGRO,151.618744258436,Regional
BOSIGAS,PAIPA JUAN JOSE RONDON,14.0351136862434,True,PAIPA JUAN JOSE RONDON,14.0351136862434,ALBERTO LLERAS CAMARGO,28.7808393623272,EL ALCARAVAN,103.406162100917,EL DORADO,152.678222967493,Regional
CARREÑO,PAIPA JUAN JOSE RONDON,8.81425942843005,True,PAIPA JUAN JOSE RONDON,8.81425942843005,ALBERTO LLERAS CAMARGO,25.0796570909252,EL ALCARAVAN,100.666173285756,PALONEGRO,153.133955933397,Regional
SORACÁ,GUSTAVO ROJAS PINILLA,4.77550470534689,True,GUSTAVO ROJAS PINILLA,4.77550470534689,ALBERTO LLERAS CAMARGO,44.6661708081957,EL ALCARAVAN,106.938409987508,EL DORADO,126.597616910555,Aeródromo
SUTAMARCHÁN,GUSTAVO ROJAS PINILLA,31.7666175651258,True,GUSTAVO ROJAS PINILLA,31.7666175651258,ALBERTO LLERAS CAMARGO,72.2884276785415,EL ALCARAVAN,140.878668182902,EL DORADO,117.553207945527,Aeródromo
TENZA,GUSTAVO ROJAS PINILLA,52.4157670411527,False,GUSTAVO ROJAS PINILLA,52.4157670411527,ALBERTO LLERAS CAMARGO,83.2653061431998,VANGUARDIA,103.304968450848,EL DORADO,90.6493882560506,Sin cobertura
TIBANÁ,GUSTAVO ROJAS PINILLA,25.68171957661,True,GUSTAVO ROJAS PINILLA,25.68171957661,ALBERTO LLERAS CAMARGO,61.8533011411925,EL ALCARAVAN,112.073520739934,EL DORADO,107.679394756092,Aeródromo
TINJACÁ,GUSTAVO ROJAS PINILLA,33.7408482242736,True,GUSTAVO ROJAS PINILLA,33.7408482242736,ALBERTO LLERAS CAMARGO,75.6903305670424,EL ALCARAVAN,142.737906098744,EL DORADO,112.243416409164,Aeródromo
TOCA,GUSTAVO ROJAS PINILLA,17.8567819604763,True,GUSTAVO ROJAS PINILLA,17.8567819604763,ALBERTO LLERAS CAMARGO,26.7525177209419,EL ALCARAVAN,92.7907371929953,EL DORADO,143.525478219837,Regional
TOGÜÍ,GUSTAVO ROJAS PINILLA,47.7657420569166,False,GUSTAVO ROJAS PINILLA,47.7657420569166,ALBERTO LLERAS CAMARGO,66.7946269207314,YARIGUIES,125.128753130966,PALONEGRO,137.254672467362,Sin cobertura
TURMEQUÉ,GUSTAVO ROJAS PINILLA,29.3260974167127,True,GUSTAVO ROJAS PINILLA,29.3260974167127,ALBERTO LLERAS CAMARGO,69.868322676139,EL ALCARAVAN,122.63480244776,EL DORADO,100.207683568305,Aeródromo
TUTA,PAIPA JUAN JOSE RONDON,15.6123860449989,True,PAIPA JUAN JOSE RONDON,15.6123860449989,ALBERTO LLERAS CAMARGO,28.3907091125622,EL ALCARAVAN,101.932688180812,EL DORADO,150.001089080515,Regional
TUTAZÁ,PAIPA JUAN JOSE RONDON,40.6446653115055,False,PAIPA JUAN JOSE RONDON,40.6446653115055,ALBERTO LLERAS CAMARGO,41.5489035655354,EL ALCARAVAN,94.9751602586847,PALONEGRO,126.964261110565,Sin cobertura
ÚMBITA,GUSTAVO ROJAS PINILLA,37.8212159838407,True,GUSTAVO ROJAS PINILLA,37.8212159838407,ALBERTO LLERAS CAMARGO,73.9643961319437,VANGUARDIA,118.36206906605,EL DORADO,95.8064412661466,Aeródromo
VENTAQUEMADA,GUSTAVO ROJAS PINILLA,27.5863381412379,True,GUSTAVO ROJAS PINILLA,27.5863381412379,ALBERTO LLERAS CAMARGO,70.0817750103513,EL ALCARAVAN,126.129799088044,EL DORADO,101.422877246188,Aeródromo
PARROQUIA VIEJA,GUSTAVO ROJAS PINILLA,28.7695104480404,True,GUSTAVO ROJAS PINILLA,28.7695104480404,ALBERTO LLERAS CAMARGO,71.3213822728731,EL ALCARAVAN,127.217687408004,EL DORADO,100.261486526571,Aeródromo
MONTOYA,GUSTAVO ROJAS PINILLA,25.6631556993262,True,GUSTAVO ROJAS PINILLA,25.6631556993262,ALBERTO LLERAS CAMARGO,68.1869939795662,EL ALCARAVAN,124.712477084747,EL DORADO,103.338168031558,Aeródromo
ESTANCIA GRANDE,GUSTAVO ROJAS PINILLA,27.3648644531412,True,GUSTAVO ROJAS PINILLA,27.3648644531412,ALBERTO LLERAS CAMARGO,70.0036139329932,EL ALCARAVAN,126.361957889791,EL DORADO,101.674220298754,Aeródromo
PUENTE BOYACÁ,GUSTAVO ROJAS PINILLA,14.4641342750049,True,GUSTAVO ROJAS PINILLA,14.4641342750049,ALBERTO LLERAS CAMARGO,57.265381864386,EL ALCARAVAN,116.950088820369,EL DORADO,114.525619722779,Aeródromo
TIERRA NEGRA,GUSTAVO ROJAS PINILLA,17.6203487185702,True,GUSTAVO ROJAS PINILLA,17.6203487185702,ALBERTO LLERAS CAMARGO,60.1680717974886,EL ALCARAVAN,118.684985089033,EL DORADO,111.37416370997,Aeródromo
